Lurraldea;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;EAJ-PNV;PP;PH;PCTE / ELAK;PSE-EE/PSOE;PUM+J;O.E.;EH BILDU;VOX;EB-AZ;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;SUMAR
Araba;AGURAIN/SALVATIERRA;	051;;;3621;2151;13;2138;24;2114;1470;683;89;;;133;1;0;1065;44;2;12;33;;52
Araba;ALEGR페-DULANTZI;	001;;;2128;1222;15;1207;13;1194;906;412;84;;;160;1;1;401;56;5;4;35;;35
Araba;AMURRIO;	002;;;7904;5334;48;5286;57;5229;2570;1922;273;;;539;2;7;2053;116;19;30;128;;140
Araba;A헤NA;	049;;;126;91;1;90;2;88;35;29;9;;;6;1;0;35;2;0;2;1;;3
Araba;ARAMAIO;	003;;;1138;715;28;687;6;681;423;198;2;;;16;1;1;415;5;1;2;23;;17
Araba;ARMI홥N;	006;;;193;112;5;107;2;105;81;35;18;;;11;0;0;26;10;1;1;0;;3
Araba;ARRAIA-MAEZTU;	037;;;632;420;8;412;7;405;212;171;47;;;14;0;0;144;8;0;1;13;;7
Araba;ARRATZUA-UBARRUNDIA;	008;;;849;516;8;508;6;502;333;168;53;;;56;1;0;185;14;4;2;8;;11
Araba;ARTZINIEGA;	004;;;1427;961;18;943;16;927;466;352;71;;;73;0;1;371;17;0;7;15;;20
Araba;ASPARRENA;	009;;;1282;865;6;859;6;853;417;259;19;;;57;1;3;460;11;2;3;19;;19
Araba;AYALA/AIARA;	010;;;2334;1545;31;1514;24;1490;789;621;73;;;93;4;0;610;27;3;5;21;;33
Araba;BA헲S DE EBRO/MA헷ETA;	011;;;223;167;7;160;5;155;56;69;56;;;12;0;0;7;8;1;0;0;;2
Araba;BARRUNDIA;	013;;;738;442;3;439;2;437;296;122;28;;;26;0;0;230;7;2;2;8;;12
Araba;BERANTEVILLA;	014;;;372;246;1;245;3;242;126;93;45;;;20;0;0;65;7;0;1;3;;8
Araba;BERNEDO;	016;;;456;234;1;233;5;228;222;69;29;;;23;1;0;88;2;1;3;4;;8
Araba;CAMPEZO/KANPEZU;	017;;;877;547;5;542;4;538;330;180;55;;;34;0;3;230;9;0;2;10;;15
Araba;ELBURGO/BURGELU;	021;;;511;295;6;289;3;286;216;110;45;;;16;2;0;75;22;2;4;4;;6
Araba;ELCIEGO;	022;;;724;498;13;485;3;482;226;152;105;;;113;1;0;75;10;2;0;10;;14
Araba;ELVILLAR/BILAR;	023;;;259;181;5;176;;176;78;88;31;;;6;0;0;45;3;0;1;1;;1
Araba;ERRIBERAGOITIA/RIBERA ALTA;	046;;;687;423;9;414;6;408;264;161;52;;;32;0;0;118;20;1;4;12;;8
Araba;HARANA/VALLE DE ARANA;	056;;;189;112;2;110;1;109;77;47;11;;;2;0;0;38;5;1;0;1;;4
Araba;IRU헤 OKA/IRU헤 DE OCA;	901;;;2590;1435;23;1412;11;1401;1155;350;213;;;297;2;0;371;76;9;11;26;;46
Araba;IRURAIZ-GAUNA;	027;;;467;271;6;265;4;261;196;86;24;;;17;1;1;111;5;0;1;8;;7
Araba;KRIPAN;	019;;;153;114;1;113;1;112;39;76;10;;;1;0;0;21;0;0;0;2;;2
Araba;KUARTANGO;	020;;;332;228;2;226;;226;104;75;18;;;6;0;0;111;6;2;2;2;;4
Araba;LABASTIDA/BASTIDA;	028;;;1150;703;11;692;5;687;447;148;166;;;96;1;0;220;22;1;1;18;;14
Araba;LAGR쳁;	030;;;148;103;;103;;103;45;34;21;;;3;0;0;35;2;1;1;1;;5
Araba;LAGUARDIA;	031;;;1117;826;14;812;6;806;291;243;248;;;58;0;0;216;26;1;2;7;;5
Araba;LANCIEGO/LANTZIEGO;	032;;;485;323;8;315;;315;162;131;41;;;57;0;0;78;3;1;1;2;;1
Araba;LANTAR흁;	902;;;764;420;4;416;1;415;344;139;89;;;46;0;4;105;10;1;2;6;;13
Araba;LAPUEBLA DE LABARCA;	033;;;635;445;6;439;7;432;190;216;64;;;39;1;0;88;12;3;3;1;;5
Araba;LAUDIO/LLODIO;	036;;;14417;9325;102;9223;90;9133;5092;3327;571;;;1112;10;10;3327;217;29;59;194;;277
Araba;LEGUTIO;	058;;;1494;852;7;845;9;836;642;223;49;;;71;0;2;429;16;0;1;25;;20
Araba;LEZA;	034;;;153;107;1;106;;106;46;38;5;;;19;0;0;38;0;0;0;3;;3
Araba;MOREDA DE 첿AVA/MOREDA ARABA;	039;;;185;129;;129;1;128;56;43;18;;;22;0;0;40;2;0;0;2;;1
Araba;MUNICIPIO CERA ARABA;	999;;;8532;;;;;;8532;0;0;;;0;0;0;0;0;0;0;0;;0
Araba;NAVARIDAS;	041;;;148;93;;93;2;91;55;42;29;;;3;0;0;9;3;1;0;1;;3
Araba;OKONDO;	042;;;937;677;4;673;13;660;260;347;20;;;14;2;3;248;3;2;1;6;;14
Araba;OY흁-OION;	043;;;2420;1322;21;1301;12;1289;1098;326;211;;;203;1;0;408;50;5;6;41;;38
Araba;PE헤CERRADA-URIZAHARRA;	044;;;261;167;2;165;2;163;94;41;17;;;23;0;0;64;5;1;1;8;;3
Araba;RIBERA BAJA/ERRIBERABEITIA;	047;;;1070;597;8;589;4;585;473;190;147;;;61;0;0;106;35;1;4;16;;25
Araba;SAMANIEGO;	052;;;212;169;1;168;;168;43;67;5;;;25;0;0;66;1;0;0;1;;3
Araba;SAN MILL쳁/DONEMILIAGA;	053;;;599;376;4;372;7;365;223;118;25;;;8;1;1;186;5;0;3;12;;6
Araba;URKABUSTAIZ;	054;;;1065;718;8;710;5;705;347;179;34;;;44;0;2;400;7;0;0;11;;28
Araba;VALDEGOV페/GAUBEA;	055;;;903;547;4;543;11;532;356;210;70;;;47;0;0;166;15;2;1;9;;12
Araba;VILLABUENA DE 첿AVA/ESKUERNAGA;	057;;;230;181;1;180;2;178;49;71;12;;;10;0;0;75;6;2;0;0;;2
Araba;VITORIA-GASTEIZ;	059;;;190280;114755;1133;113622;955;112667;75525;27444;20703;;;20831;254;142;29959;4610;564;762;2831;;4567
Araba;Y텎ORA/IEKORA;	060;;;202;145;3;142;1;141;57;70;34;;;9;0;0;22;2;0;0;1;;3
Araba;ZALDUONDO;	061;;;171;146;;146;3;143;25;44;2;;;8;2;0;75;1;1;3;3;;4
Araba;ZAMBRANA;	062;;;357;184;2;182;2;180;173;42;42;;;28;0;0;41;13;1;3;3;;7
Araba;ZIGOITIA;	018;;;1477;915;11;904;10;894;562;239;101;;;68;0;0;389;28;4;7;30;;28
Araba;ZUIA;	063;;;1999;1312;8;1304;9;1295;687;439;114;;;115;4;0;512;39;3;5;25;;39
Bizkaia;ABADI헲;	001;;;5955;3723;31;3692;22;3670;2232;1272;178;4;1;445;2;;1505;58;5;16;97;9;78
Bizkaia;ABANTO Y CIRVANA-ABANTO ZIERBENA;	002;;;7793;4835;68;4767;57;4710;2958;1782;153;4;2;749;5;;1628;72;12;22;114;7;160
Bizkaia;AJANGIZ;	911;;;394;287;2;285;2;283;107;75;1;0;1;1;0;;199;0;0;2;2;0;2
Bizkaia;ALONSOTEGI;	912;;;2360;1609;17;1592;25;1567;751;634;47;0;1;131;2;;650;32;1;3;30;0;36
Bizkaia;AMOREBIETA-ETXANO;	003;;;14672;9936;63;9873;71;9802;4736;4011;283;9;10;926;10;;3918;95;19;56;214;15;236
Bizkaia;AMOROTO;	004;;;327;228;;228;1;227;99;84;0;0;0;1;0;;140;0;0;0;0;0;2
Bizkaia;ARAKALDO;	005;;;123;73;1;72;;72;50;29;0;0;0;5;0;;30;3;0;0;0;0;5
Bizkaia;ARANTZAZU;	006;;;301;241;2;239;4;235;60;68;2;0;0;7;0;;148;0;0;1;5;0;4
Bizkaia;AREATZA;	093;;;891;669;5;664;3;661;222;248;23;0;1;22;1;;342;7;0;1;3;3;10
Bizkaia;ARRANKUDIAGA;	009;;;792;592;3;589;11;578;200;231;7;0;0;11;0;;308;3;0;2;7;2;7
Bizkaia;ARRATZU;	914;;;337;272;;272;1;271;65;136;0;0;0;3;0;;126;1;0;0;1;0;4
Bizkaia;ARRIETA;	010;;;483;342;1;341;3;338;141;157;2;0;0;8;0;;153;2;2;1;6;0;7
Bizkaia;ARRIGORRIAGA;	011;;;9516;6102;53;6049;71;5978;3414;2388;266;15;4;742;12;;2014;102;14;31;135;7;248
Bizkaia;ARTEA;	023;;;587;457;9;448;1;447;130;200;8;0;0;5;1;;216;2;2;1;7;0;5
Bizkaia;ARTZENTALES;	008;;;627;415;4;411;7;404;212;192;10;0;0;13;0;;140;5;2;3;16;11;12
Bizkaia;ATXONDO;	091;;;1091;711;8;703;9;694;380;268;15;0;0;43;0;;355;1;0;1;3;0;8
Bizkaia;AULESTI;	070;;;517;346;;346;2;344;171;94;5;0;0;2;0;;223;0;1;0;1;17;1
Bizkaia;BAKIO;	012;;;2236;1629;9;1620;18;1602;607;709;36;0;0;46;4;;743;10;3;5;19;2;25
Bizkaia;BALMASEDA;	090;;;5889;4011;64;3947;30;3917;1878;1938;172;4;7;524;8;;1001;54;17;10;57;18;107
Bizkaia;BARAKALDO;	013;;;78165;46236;378;45858;510;45348;31929;16422;4020;48;77;9717;74;;10146;1133;120;275;1146;62;2108
Bizkaia;BARRIKA;	014;;;1249;795;8;787;11;776;454;329;58;0;0;67;0;;273;14;0;3;17;2;13
Bizkaia;BASAURI;	015;;;32377;19482;124;19358;150;19208;12895;7469;1428;37;34;3779;18;;4760;418;24;102;451;27;661
Bizkaia;BEDIA;	092;;;893;615;6;609;6;603;278;342;26;0;0;27;1;;188;5;2;1;3;0;8
Bizkaia;BERANGO;	016;;;5919;3917;27;3890;41;3849;2002;1642;394;0;4;392;2;;1101;58;7;24;87;7;131
Bizkaia;BERMEO;	017;;;13032;8259;54;8205;56;8149;4773;3845;96;8;4;341;5;;3502;57;16;27;103;18;127
Bizkaia;BERRIATUA;	018;;;879;543;4;539;7;532;336;207;2;0;0;5;0;;310;0;0;2;5;0;1
Bizkaia;BERRIZ;	019;;;3426;2236;24;2212;22;2190;1190;807;85;1;4;228;4;;892;26;0;14;74;0;55
Bizkaia;BILBAO;	020;;;267386;164927;977;163950;1598;162352;102459;64204;20827;138;182;24288;413;;36438;4039;439;890;4015;177;6302
Bizkaia;BUSTURIA;	021;;;1341;886;7;879;5;874;455;390;25;0;0;46;2;;378;4;0;3;11;0;15
Bizkaia;DERIO;	901;;;5476;3634;34;3600;40;3560;1842;1390;225;9;1;545;6;;1095;56;10;15;58;5;145
Bizkaia;DIMA;	026;;;1202;892;8;884;6;878;310;277;10;0;0;12;0;;547;4;0;2;12;4;10
Bizkaia;DURANGO;	027;;;22738;15045;110;14935;143;14792;7693;5559;963;12;13;1509;20;;5600;171;33;53;422;22;415
Bizkaia;EA;	028;;;695;525;1;524;13;511;170;200;5;0;0;6;1;;286;2;1;1;7;0;2
Bizkaia;ELANTXOBE;	031;;;291;201;1;200;1;199;90;91;3;0;0;1;0;;101;1;0;0;0;0;2
Bizkaia;ELORRIO;	032;;;5686;3841;30;3811;37;3774;1845;1349;169;1;1;286;0;;1750;20;2;8;107;9;72
Bizkaia;ERANDIO;	902;;;19159;11488;110;11378;95;11283;7671;4454;653;20;15;2018;20;;3151;213;29;93;239;28;350
Bizkaia;ERE헲;	033;;;224;171;3;168;;168;53;76;4;0;0;3;0;;76;1;0;1;3;1;3
Bizkaia;ERMUA;	034;;;12324;7674;59;7615;67;7548;4650;2081;865;13;36;1837;8;;1804;179;21;46;219;8;431
Bizkaia;ERRIGOITI;	079;;;407;304;5;299;2;297;103;147;0;1;0;5;0;;139;0;0;0;2;0;3
Bizkaia;ETXEBARRI;	029;;;9068;5711;37;5674;67;5607;3357;2320;454;8;5;976;7;;1214;157;34;43;132;7;250
Bizkaia;ETXEBARRIA;	030;;;567;427;3;424;7;417;140;198;3;0;1;4;0;;201;0;0;1;2;2;5
Bizkaia;FORUA;	906;;;762;576;3;573;5;568;186;248;12;0;0;21;1;;262;3;1;0;11;0;9
Bizkaia;FRUIZ;	035;;;433;337;3;334;3;331;96;147;8;0;1;3;0;;150;5;1;3;7;0;6
Bizkaia;GALDAKAO;	036;;;23951;14889;90;14799;141;14658;9062;5506;837;12;16;1911;20;;5191;263;40;66;346;19;431
Bizkaia;GALDAMES;	037;;;682;486;10;476;4;472;196;232;9;0;0;25;0;;178;3;2;3;9;0;11
Bizkaia;GAMIZ-FIKA;	038;;;1156;861;7;854;7;847;295;428;21;1;0;31;0;;337;5;1;2;11;2;8
Bizkaia;GARAI;	039;;;272;244;2;242;;242;28;117;7;0;0;7;0;;100;4;0;0;5;0;2
Bizkaia;GATIKA;	040;;;1303;882;5;877;11;866;421;430;21;0;1;33;0;;334;5;0;6;11;11;14
Bizkaia;GAUTEGIZ ARTEAGA;	041;;;723;570;4;566;9;557;153;260;10;0;0;14;0;;248;4;0;0;10;1;10
Bizkaia;GERNIKA-LUMO;	046;;;12545;8594;60;8534;63;8471;3951;3514;206;4;4;567;2;;3800;55;16;27;111;18;147
Bizkaia;GETXO;	044;;;60510;41680;173;41507;411;41096;18830;16237;8820;23;43;4345;46;;8571;934;76;155;723;45;1078
Bizkaia;GIZABURUAGA;	047;;;139;101;;101;1;100;38;27;0;0;0;0;0;;66;0;0;0;5;0;2
Bizkaia;GORDEXOLA;	042;;;1387;1036;9;1027;10;1017;351;550;70;1;0;65;1;;256;12;2;6;18;1;35
Bizkaia;GORLIZ;	043;;;4852;3240;17;3223;32;3191;1612;1430;182;0;3;217;2;;1115;33;7;20;66;6;110
Bizkaia;G㏊헨S;	045;;;5246;3595;52;3543;35;3508;1651;1617;145;3;6;322;14;;1160;45;8;17;56;6;109
Bizkaia;IBARRANGELU;	048;;;589;438;1;437;3;434;151;170;8;0;0;14;2;;223;3;0;2;4;1;7
Bizkaia;IGORRE;	094;;;3059;2157;22;2135;9;2126;902;979;34;0;0;78;3;;951;18;4;11;28;0;20
Bizkaia;ISPASTER;	049;;;566;434;4;430;4;426;132;190;2;1;1;3;0;;216;2;0;4;2;1;4
Bizkaia;IURRETA;	910;;;2890;1859;14;1845;16;1829;1031;694;89;1;1;230;1;;707;21;1;3;33;4;44
Bizkaia;IZURTZA;	050;;;163;125;1;124;;124;38;51;0;0;0;2;0;;70;0;0;0;1;0;0
Bizkaia;KARRANTZA HARANA/VALLE DE CARRANZA;	022;;;2235;1367;14;1353;13;1340;868;743;38;2;0;80;1;;424;15;3;2;19;3;10
Bizkaia;KORTEZUBI;	907;;;351;284;5;279;;279;67;136;0;0;0;5;0;;135;0;0;0;1;0;2
Bizkaia;LANESTOSA;	051;;;215;141;1;140;2;138;74;65;8;0;0;11;0;;42;2;0;0;5;1;4
Bizkaia;LARRABETZU;	052;;;1597;1192;12;1180;5;1175;405;388;17;0;0;17;0;;697;8;7;2;17;4;18
Bizkaia;LAUKIZ;	053;;;976;732;8;724;9;715;244;401;87;0;1;35;1;;168;8;1;5;1;0;7
Bizkaia;LEIOA;	054;;;25463;16394;121;16273;172;16101;9069;6560;1806;6;10;2368;30;;3733;356;34;78;411;14;695
Bizkaia;LEKEITIO;	057;;;5719;4105;20;4085;33;4052;1614;1531;29;1;0;63;0;;2305;8;3;3;61;1;47
Bizkaia;LEMOA;	055;;;2593;1758;25;1733;14;1719;835;791;62;1;1;90;3;;676;24;4;7;30;3;27
Bizkaia;LEMOIZ;	056;;;1051;747;10;737;8;729;304;319;19;0;0;22;0;;322;4;1;8;10;3;21
Bizkaia;LEZAMA;	081;;;1932;1427;12;1415;17;1398;505;771;30;3;0;74;0;;446;15;4;3;15;3;34
Bizkaia;LOIU;	903;;;1842;1315;14;1301;7;1294;527;749;123;0;0;65;1;;287;17;4;8;7;2;31
Bizkaia;MALLABIA;	058;;;919;630;6;624;2;622;289;224;11;0;0;37;0;;324;2;0;2;11;0;11
Bizkaia;MA헤RIA;	059;;;407;296;1;295;3;292;111;128;6;0;0;3;0;;154;0;0;0;0;0;1
